U,d,h,j,Isp,nu_t,T,m_a
2.810000000000000000e+02,3.828134235918558659e+01,9.031924072707168349e+00,2.241559781440996268e-01,1.513979941461140015e+03,1.569892488919303886e-01,1.479819747953203901e+01,9.963678140331777566e-01
2.820000000000000000e+02,3.834939813265999931e+01,9.045182996431254452e+00,2.231026723344733953e-01,1.516671463481818364e+03,1.580597074822002457e-01,1.487266126396334620e+01,9.996044107821253633e-01
2.830000000000000000e+02,3.841733334646426812e+01,9.058418432192613778e+00,2.220578179944752151e-01,1.519358217516029072e+03,1.591337089414814610e-01,1.494724090920652948e+01,1.002840460767204345e+00
2.840000000000000000e+02,3.848514863904575378e+01,9.071630504376358317e+00,2.210213190039567177e-01,1.522040228813578324e+03,1.602112528111238610e-01,1.502193621037873328e+01,1.006075966883910988e+00
2.850000000000000000e+02,3.855284464323657545e+01,9.084819336273609380e+00,2.199930806582836296e-01,1.524717522402197346e+03,1.612923386349013888e-01,1.509674696368015567e+01,1.009310932002273287e+00
2.860000000000000000e+02,3.862042198632252621e+01,9.097985050094933968e+00,2.189730096427504602e-01,1.527390123090266343e+03,1.623769659589915371e-01,1.517167296638459284e+01,1.012545358967166687e+00
2.870000000000000000e+02,3.868788129011091570e+01,9.111127766983553755e+00,2.179610140075437241e-01,1.530058055469498640e+03,1.634651343319542538e-01,1.524671401683003502e+01,1.015779250598620509e+00
2.880000000000000000e+02,3.875522317099726877e+01,9.124247607028340923e+00,2.169570031432400126e-01,1.532721343917578224e+03,1.645568433047105428e-01,1.532186991440934776e+01,1.019012609692119264e+00
2.890000000000000000e+02,3.882244824003109329e+01,9.137344689276638121e+00,2.159608877568236218e-01,1.535380012600760892e+03,1.656520924305230624e-01,1.539714045956118937e+01,1.022245439018903967e+00
2.900000000000000000e+02,3.888955710298051827e+01,9.150419131746843959e+00,2.149725798482144123e-01,1.538034085476429709e+03,1.667508812649745598e-01,1.547252545376085919e+01,1.025477741326261905e+00
2.910000000000000000e+02,3.895655036039603658e+01,9.163471051440835069e+00,2.139919926872894951e-01,1.540683586295616124e+03,1.678532093659488023e-01,1.554802469951143529e+01,1.028709519337818845e+00
2.920000000000000000e+02,3.902342860767313226e+01,9.176500564356162570e+00,2.130190407913910289e-01,1.543328538605479707e+03,1.689590762936104273e-01,1.562363800033487315e+01,1.031940775753819040e+00
2.930000000000000000e+02,3.909019243511409769e+01,9.189507785498108206e+00,2.120536399033029762e-01,1.545968965751748328e+03,1.700684816103857078e-01,1.569936516076334598e+01,1.035171513251411213e+00
2.940000000000000000e+02,3.915684242798876369e+01,9.202492828891498888e+00,2.110957069696915711e-01,1.548604890881123538e+03,1.711814248809424843e-01,1.577520598633052451e+01,1.038401734484917682e+00
2.950000000000000000e+02,3.922337916659439117e+01,9.215455807592389803e+00,2.101451601199927632e-01,1.551236336943645711e+03,1.722979056721718749e-01,1.585116028356314821e+01,1.041631442086111914e+00
2.960000000000000000e+02,3.928980322631458932e+01,9.228396833699532564e+00,2.092019186457399205e-01,1.553863326695029627e+03,1.734179235531690122e-01,1.592722785997252721e+01,1.044860638664480090e+00
2.970000000000000000e+02,3.935611517767740963e+01,9.241316018365703044e+00,2.082659029803179129e-01,1.556485882698956630e+03,1.745414780952149192e-01,1.600340852404628578e+01,1.048089326807490229e+00
2.980000000000000000e+02,3.942231558641247346e+01,9.254213471808819591e+00,2.073370346791371666e-01,1.559104027329335167e+03,1.756685688717569138e-01,1.607970208524006139e+01,1.051317509080845980e+00
2.990000000000000000e+02,3.948840501350731103e+01,9.267089303322929794e+00,2.064152364002133921e-01,1.561717782772533610e+03,1.767991954583921776e-01,1.615610835396945788e+01,1.054545188028746194e+00
3.000000000000000000e+02,3.955438401526281922e+01,9.279943621289008959e+00,2.055004318851470224e-01,1.564327171029565307e+03,1.779333574328479106e-01,1.623262714160194164e+01,1.057772366174133838e+00
3.010000000000000000e+02,3.962025314334788817e+01,9.292776533185607590e+00,2.045925459404905611e-01,1.566932213918256139e+03,1.790710543749650663e-01,1.630925826044895643e+01,1.060999046018945791e+00
3.020000000000000000e+02,3.968601294485323194e+01,9.305588145599330119e+00,2.036915044194959612e-01,1.569532933075369101e+03,1.802122858666797556e-01,1.638600152375804697e+01,1.064225230044355541e+00
3.030000000000000000e+02,3.975166396234436661e+01,9.318378564235169748e+00,2.027972342042324849e-01,1.572129349958703870e+03,1.813570514920067878e-01,1.646285674570510693e+01,1.067450920711012996e+00
